"income","taxable_income","income_tax","resident_tax"
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,1.3,0.06,0
260,11.8,0.6,0
280,22.2,1.13,0
300,32.6,1.66,0
320,46.6,2.37,5.41
340,57.1,2.91,6.46
360,67.5,3.44,7.5
380,80,4.08,8.75
400,92.4,4.71,9.99
420,104.8,5.35,11.23
440,120.8,6.16,12.83
460,133.3,6.8,14.08
480,143.9,7.34,15.14
500,159.9,8.16,16.74
520,170.6,8.7,17.8
540,186.6,9.52,19.41
560,197.3,10.18,40.595
580,213.3,11.82,42.995000000000005
600,223.9,12.9,44.585
620,234.6,13.99,46.190000000000005
640,250.6,15.63,48.59
660,261.2,16.71,50.18000000000001
680,279.2,18.55,52.88
700,291.9,19.84,54.785
720,309.9,21.68,57.485
740,322.5,22.97,59.375
760,340.5,25.88,62.075
780,353.2,28.47,63.980000000000004
800,369.1,31.72,66.365
820,387.1,35.39,69.065
840,403.1,38.66,71.465
860,422.1,42.54,74.315
880,439.4,46.07,76.91
900,459.4,50.16,79.91
920,479.4,54.24,82.91
940,496.6,57.75,85.49000000000001
960,516.6,61.84,88.49000000000001
980,533.9,65.37,91.08500000000001
1000,553.9,69.45,94.08500000000001
